uf50-024 nn logn infinity n 0.35666871099999753 11872 1 2 3 4 5 -6 7 8 -9 -10 11 12 13 14 15 -16 17 18 19 20 -21 -22 -23 -24 25 26 27 28 29 30 31 32 -33 34 -35 36 37 38 -39 -40 -41 42 43 44 -45 46 47 -48 -49 50
uf50-024 nnn logn infinity n 17.447652558000016 12013 1 2 3 4 5 -6 7 8 -9 -10 11 12 13 -14 15 -16 17 18 -19 20 21 -22 -23 24 25 26 27 28 -29 30 31 32 -33 34 -35 36 37 38 -39 -40 -41 42 43 44 -45 46 47 -48 49 50
uf50-0241 n logn infinity n 0.007438757999977952 0 1 2 -3 4 5 6 7 -8 -9 -10 -11 -12 13 -14 -15 -16 -17 18 -19 -20 -21 22 -23 24 -25 26 -27 28 29 -30 31 -32 33 -34 -35 36 -37 -38 -39 -40 41 42 -43 -44 45 46 -47 -48 -49 50
uf50-0241 nlogn logn infinity n 0.04079917999996496 0 1 2 -3 4 5 -6 -7 8 -9 -10 -11 12 13 -14 -15 -16 -17 18 19 20 -21 22 -23 24 -25 -26 27 28 -29 -30 -31 32 -33 34 35 36 -37 -38 39 40 -41 -42 43 44 -45 46 -47 -48 49 50
uf50-0241 nn logn infinity n 0.349065515999996 11201 1 2 3 4 -5 -6 -7 -8 9 10 11 12 -13 14 15 16 17 18 19 -20 -21 22 -23 -24 25 26 27 28 29 30 -31 32 33 34 35 -36 -37 38 39 -40 -41 -42 43 44 -45 46 47 48 49 -50
uf50-0241 nnn logn infinity n 17.31084522599997 11870 1 2 3 4 -5 -6 -7 8 -9 10 11 12 13 14 15 16 17 18 19 -20 -21 -22 -23 -24 25 26 27 28 29 30 -31 32 33 34 35 -36 37 38 39 -40 41 -42 43 44 -45 46 47 48 49 -50
uf50-0274 n logn infinity n 0.0072106660000486045 0 -1 2 3 4 5 -6 7 -8 9 -10 11 12 -13 14 15 16 17 18 -19 20 -21 22 -23 24 25 -26 27 28 -29 30 -31 -32 -33 34 35 36 -37 -38 39 -40 -41 -42 -43 44 -45 46 47 -48 49 50
uf50-0274 nlogn logn infinity n 0.03980751700004248 0 -1 2 3 -4 5 -6 7 -8 -9 -10 11 12 -13 14 -15 -16 -17 18 -19 20 -21 -22 -23 24 25 26 27 28 -29 30 -31 32 33 34 35 36 -37 -38 39 40 -41 -42 -43 44 45 46 -47 -48 -49 50
uf50-0274 nn logn infinity n 0.3507502850000037 11609 1 -2 3 -4 5 6 -7 8 -9 10 -11 12 -13 -14 15 16 -17 18 19 20 -21 -22 23 24 25 26 27 28 -29 30 -31 32 33 -34 35 36 37 -38 -39 40 41 42 43 44 45 46 -47 48 -49 50
uf50-0274 nnn logn infinity n 17.413178027000015 12229 1 -2 3 -4 5 6 -7 8 -9 10 -11 12 -13 14 15 16 -17 18 19 20 -21 -22 23 24 25 26 27 28 -29 30 -31 32 33 -34 35 36 37 -38 -39 40 41 42 43 44 45 46 -47 48 49 50
uf50-036 n logn infinity n 0.0072024450000185425 0 1 2 -3 -4 5 6 -7 -8 -9 10 -11 12 13 -14 -15 16 -17 -18 19 20 21 22 23 24 -25 -26 -27 -28 -29 30 -31 -32 -33 34 35 36 37 38 -39 -40 -41 -42 43 44 -45 -46 47 -48 49 -50
uf50-036 nlogn logn infinity n 0.039507042000025194 0 1 2 -3 -4 5 6 -7 8 -9 10 -11 -12 13 -14 -15 16 -17 18 19 20 21 22 -23 24 -25 26 27 -28 -29 30 -31 -32 -33 34 35 -36 -37 38 -39 -40 -41 -42 -43 44 45 -46 -47 -48 49 -50
uf50-036 nn logn infinity n 0.3485423619999892 24997 1 2 3 -4 5 6 -7 8 -9 10 -11 -12 13 14 15 16 -17 18 19 -20 -21 22 23 24 -25 26 -27 -28 29 30 31 -32 -33 34 35 36 -37 38 39 40 -41 -42 43 44 45 46 -47 48 -49 -50
uf50-036 nnn logn infinity n 18.206018527000026 25690 1 2 3 -4 5 6 -7 8 -9 10 -11 -12 13 14 15 16 -17 18 19 -20 21 22 23 24 -25 26 -27 -28 29 30 31 -32 -33 34 35 36 -37 38 39 40 -41 42 43 44 45 46 -47 48 -49 -50
