uf20-01000 0 0 62 73 -1 2 -3 4 5 -6 7 -8 9 -10 -11 -12 -13 -14 -15 16 17 18 19 -20
uf20-0102 0 0 27 67 1 2 -3 4 -5 6 7 8 9 10 -11 12 13 14 15 -16 -17 -18 19 -20
uf20-0107 0 0 64 80 -1 2 3 4 -5 -6 7 8 9 10 -11 12 13 -14 15 -16 17 18 19 20
uf20-0108 0 0 64 75 1 -2 3 4 -5 -6 7 8 9 10 11 -12 13 -14 15 -16 -17 18 19 -20
uf20-0110 0 0 69 69 1 -2 3 4 5 6 7 8 9 -10 11 -12 13 14 15 16 17 18 19 -20
uf20-0114 0 0 41 68 -1 2 3 4 5 6 -7 -8 9 -10 -11 -12 13 14 15 16 -17 18 19 20
uf20-0116 0 28 33 71 1 2 3 4 -5 6 7 8 -9 -10 -11 -12 13 14 -15 -16 17 -18 19 20
uf20-0120 0 0 0 80 1 -2 -3 4 5 6 7 8 -9 10 11 -12 -13 -14 -15 16 17 18 19 -20
uf20-0125 0 0 77 83 -1 2 -3 4 5 6 7 8 -9 10 11 12 -13 14 -15 16 17 18 19 20
uf20-0129 0 0 0 73 1 -2 3 4 -5 6 -7 8 9 10 -11 -12 -13 -14 -15 -16 17 18 19 20
uf20-0130 0 0 0 71 1 -2 3 -4 5 6 7 -8 9 10 -11 12 -13 -14 -15 16 -17 18 19 -20
uf20-014 0 0 62 75 1 -2 -3 -4 5 6 7 8 -9 10 11 -12 13 -14 15 16 17 18 -19 -20
uf20-0140 0 0 62 90 1 2 3 -4 5 -6 7 8 9 -10 -11 12 13 -14 -15 16 17 18 -19 -20
uf20-0146 0 0 18 48 -1 2 -3 4 -5 6 7 8 -9 -10 -11 12 13 -14 15 16 -17 18 19 -20
uf20-0151 0 0 91 91 1 2 3 4 -5 6 7 8 -9 10 11 12 13 -14 -15 16 17 18 -19 20
uf20-0158 0 37 53 57 1 2 3 4 5 6 7 8 9 10 11 12 -13 14 -15 -16 -17 -18 19 20
uf20-0159 0 54 54 54 1 2 -3 -4 -5 6 -7 8 9 -10 11 12 13 14 15 16 17 -18 -19 -20
uf20-0162 0 0 61 61 -1 2 -3 4 5 6 -7 -8 9 10 11 12 -13 14 -15 16 17 18 19 -20
uf20-0171 0 0 35 38 1 2 3 4 -5 -6 7 8 9 10 -11 -12 13 14 -15 -16 -17 18 -19 20
uf20-0173 0 0 7 41 -1 -2 3 -4 -5 -6 -7 -8 9 10 -11 12 -13 14 -15 16 -17 18 -19 -20
uf20-0177 0 0 33 56 -1 -2 -3 4 -5 6 7 -8 9 -10 11 -12 -13 14 -15 16 17 18 19 20
uf20-0178 0 0 36 45 -1 -2 -3 4 5 -6 7 -8 9 10 11 12 -13 -14 -15 -16 -17 -18 19 20
uf20-018 0 0 0 85 -1 2 3 -4 5 -6 -7 8 9 -10 -11 12 13 14 15 16 -17 18 19 20
uf20-0180 0 0 88 93 1 2 3 4 -5 6 7 8 -9 10 11 12 13 -14 -15 -16 17 -18 19 -20
uf20-0200 0 0 53 78 1 -2 3 -4 5 -6 7 -8 9 -10 -11 -12 13 -14 15 16 17 18 -19 20
uf20-0209 0 0 0 67 1 2 3 -4 -5 -6 7 -8 9 -10 11 12 13 14 -15 -16 -17 18 19 -20
uf20-0211 0 0 57 57 1 2 -3 4 5 6 7 8 -9 -10 11 12 13 -14 15 16 17 -18 19 20
uf20-0221 0 0 97 110 -1 2 3 4 5 6 -7 8 9 10 11 12 13 14 -15 16 -17 -18 19 20
uf20-0224 0 0 0 58 -1 2 -3 -4 5 6 7 -8 -9 -10 -11 12 -13 -14 15 -16 -17 -18 19 20
uf20-0229 0 0 0 69 -1 2 3 4 5 6 7 8 9 -10 -11 12 -13 14 15 -16 17 18 -19 20
uf20-023 0 0 40 64 1 -2 3 4 -5 6 7 -8 9 10 -11 -12 13 -14 -15 16 -17 -18 19 20
uf20-0231 0 0 78 78 -1 -2 3 4 5 6 -7 8 9 -10 11 12 -13 14 -15 16 17 -18 19 20
uf20-0234 0 0 46 52 1 -2 3 4 5 6 -7 -8 9 10 -11 12 -13 14 15 16 17 18 -19 20
uf20-0246 0 0 47 50 1 2 -3 -4 -5 6 -7 8 9 10 -11 12 13 -14 -15 -16 17 18 19 20
uf20-0247 0 0 83 112 1 -2 3 -4 5 -6 7 -8 -9 10 -11 12 13 14 15 16 17 18 -19 20
uf20-0254 0 0 0 63 -1 -2 3 4 -5 -6 7 8 9 10 -11 -12 -13 14 15 16 -17 -18 -19 20
uf20-026 0 0 0 45 1 2 3 4 5 6 7 -8 9 10 -11 -12 -13 14 15 16 17 18 -19 -20
uf20-0261 0 0 0 57 1 -2 -3 4 5 -6 7 8 -9 10 -11 -12 13 -14 15 -16 17 18 -19 -20
uf20-0268 0 75 87 87 -1 2 3 4 5 6 7 8 9 -10 11 12 -13 -14 15 16 17 -18 19 -20
uf20-0271 0 0 0 22 -1 -2 -3 4 -5 6 7 8 -9 10 -11 12 -13 -14 15 -16 -17 -18 -19 -20
uf20-0272 0 0 34 35 -1 -2 -3 -4 -5 -6 -7 -8 9 10 11 12 13 -14 15 16 17 -18 -19 20
uf20-0284 0 0 52 52 1 2 -3 4 5 6 7 8 -9 -10 11 12 13 14 15 -16 17 18 19 -20
uf20-0290 0 0 53 59 -1 2 -3 -4 -5 6 -7 8 -9 10 11 12 -13 14 -15 16 -17 18 19 20
uf20-0293 0 0 68 69 -1 2 -3 4 5 6 -7 8 9 10 11 12 -13 14 15 16 17 18 19 20
uf20-0299 0 0 40 56 1 -2 3 4 -5 6 -7 8 -9 -10 11 -12 -13 14 -15 -16 -17 18 -19 20
uf20-030 0 0 0 93 1 2 -3 4 -5 6 7 8 9 10 -11 -12 13 -14 15 16 17 -18 19 20
uf20-0305 0 0 31 55 1 2 3 -4 -5 -6 7 8 -9 10 11 -12 13 -14 15 16 17 -18 -19 20
uf20-0306 0 0 23 23 -1 2 3 4 -5 -6 -7 8 -9 10 11 -12 -13 -14 15 16 17 18 -19 20
uf20-0312 0 0 22 23 1 2 -3 4 -5 6 7 8 9 10 -11 12 13 -14 -15 -16 -17 18 -19 20
uf20-0316 0 0 30 35 1 2 3 -4 -5 -6 -7 8 -9 10 -11 -12 -13 14 -15 16 -17 18 19 -20
uf20-0320 0 0 0 50 1 2 -3 -4 5 -6 7 -8 9 10 11 -12 -13 -14 15 16 17 -18 -19 -20
uf20-0322 0 0 87 87 -1 2 3 -4 5 6 -7 8 9 10 11 -12 -13 14 -15 16 -17 18 -19 -20
uf20-0324 0 0 50 63 1 -2 3 4 5 -6 7 -8 9 -10 11 -12 -13 -14 15 16 -17 -18 19 20
uf20-0328 0 0 53 53 -1 2 3 -4 5 -6 -7 -8 -9 -10 11 -12 -13 14 15 16 17 -18 -19 -20
uf20-0331 0 0 0 68 1 2 -3 4 5 6 -7 -8 9 -10 -11 -12 13 -14 15 16 -17 -18 19 -20
uf20-0337 0 0 54 60 -1 -2 3 4 -5 6 7 -8 -9 -10 11 -12 -13 14 -15 16 17 -18 19 20
uf20-0339 0 0 34 45 -1 2 -3 4 5 6 7 -8 9 -10 11 12 13 14 -15 16 -17 18 -19 20
uf20-035 0 0 54 54 1 2 3 -4 5 6 -7 8 9 10 11 -12 -13 -14 -15 16 17 18 19 20
uf20-0350 0 0 0 70 1 -2 -3 -4 -5 -6 7 8 9 10 11 -12 13 14 -15 16 17 -18 -19 -20
uf20-0353 0 0 65 80 1 2 3 -4 5 -6 -7 8 9 10 11 -12 13 14 15 16 -17 -18 19 20
uf20-0359 0 0 54 54 -1 2 -3 -4 -5 -6 -7 8 9 -10 -11 -12 13 14 -15 16 -17 18 -19 20
uf20-0360 0 0 59 59 1 2 3 4 5 6 -7 -8 9 10 11 12 -13 -14 15 16 -17 -18 19 20
uf20-0363 0 0 0 42 1 -2 -3 4 5 6 7 8 -9 -10 -11 12 -13 14 15 -16 -17 18 -19 -20
uf20-0366 0 0 46 59 1 2 -3 -4 -5 6 -7 8 9 10 -11 12 -13 -14 -15 16 -17 -18 19 -20
uf20-037 0 40 41 43 -1 2 -3 -4 5 6 7 8 9 -10 11 -12 13 14 -15 -16 -17 -18 -19 -20
uf20-0373 0 0 37 37 1 2 3 4 -5 -6 7 8 9 -10 -11 12 13 -14 15 -16 -17 -18 -19 20
uf20-0374 0 0 27 52 1 -2 -3 -4 5 6 7 8 -9 10 11 -12 -13 -14 -15 16 -17 18 -19 20
uf20-0384 0 0 0 39 1 2 -3 4 5 6 7 8 9 -10 11 -12 13 -14 -15 16 17 -18 19 -20
uf20-0385 0 0 30 42 1 -2 -3 4 5 -6 7 -8 9 10 -11 12 -13 -14 -15 16 17 18 19 20
uf20-0386 0 0 0 60 1 2 3 4 -5 6 -7 8 -9 -10 11 -12 13 14 -15 16 17 -18 -19 -20
uf20-0387 0 0 54 54 1 2 3 4 -5 6 -7 8 9 -10 11 12 13 14 15 -16 17 18 -19 20
uf20-0405 0 0 27 34 -1 -2 3 -4 5 6 7 -8 9 10 -11 -12 -13 14 15 16 17 18 19 -20
uf20-0409 0 0 58 75 1 2 3 -4 5 -6 7 8 -9 -10 11 -12 13 14 -15 -16 17 18 19 20
